text,date
"b'Apple Card now available to everyone in the US with 3 percent Uber cash back. Apple is allowing everyone in the US to apply for an Apple Card. Alongside the broader launch, Uber and Uber Eats purchases using Apple Card will generate 3 percent cash back '",2019-08-20T13:12:12Z
"b'Apple contractors were allegedly listening to 1,000 Siri recordings a day \xe2\x80\x94 each. Each of the big five tech companies has been caught secretly using human contractors to listen to conversations recorded by their gadgets and services. Pro-privacy Apple is one of those companies, and thanks to a report from the Irish Examiner, we may know a \xe2\x80\xa6 '",2019-08-23T21:05:06Z
"b'Apple sues startup for creating a software copy of the iPhone. For more than a year, a company called Corellium has been offering hackers a virtual iPhone \xe2\x80\x94 but now, Apple is pushing back in court. '",2019-08-16T21:05:05Z
b'Apple\xe2\x80\x99s noise-canceling AirPods and cheaper HomePod expected in 2020. The new HomePod will sell for less than $299 by offering just two tweeters instead of the seven found in the original when it\xe2\x80\x99s released. New noise-canceling AirPods that a resistant to water are also rumored for 2020. ',2019-08-22T11:22:42Z
"b'Disney+ will stream on these devices at launch. Disney has confirmed its first global launches for the company\xe2\x80\x99s upcoming Disney+ subscription service, and it outlined which devices will be able to access it on day one. '",2019-08-19T13:00:00Z
"b'Apple\xe2\x80\x99s editorial App Store \xe2\x80\x98Today\xe2\x80\x99 stories now work in web browsers. Apple has been offering editorial takes on apps in the App Store since it redesigned the storefront in iOS 11, but until now those interviews, guides, and recommendations were only available to read in the actual App Store apps themselves. Now, though, you ca\xe2\x80\xa6 '",2019-08-15T16:08:35Z
b'Facebook also hired human contractors to listen to audio from its Messenger app. Facebook has employed the practice of hiring human contractors to review its users\xe2\x80\x99 audio clips that were obtained through the Messenger app. ',2019-08-13T20:11:15Z
"b'The Google Home Mini\xe2\x80\x99s mute switch makes privacy deliberate. Smart home devices can make people uneasy, what with the \xe2\x80\x9cconstantly listening to you\xe2\x80\x9d and the massive breach of privacy whereby paid human contractors turned out to be listening to recordings from Apple, Google, Amazon, Microsoft, and Facebook services witho\xe2\x80\xa6 '",2019-08-23T12:30:00Z
"b'Verizon overhauls its \xe2\x80\x98unlimited\xe2\x80\x99 offerings with four new plans and $5 price cuts. Verizon has four unlimited new data plans, with ere are $5 price cuts across the board, new names, and an overall more baffling system as a whole. '",2019-08-02T13:25:33Z
"b'Monument Valley 3 is in the works. Ustwo Games revealed that Monument Valley 3 is in the works. Though, aside from the name, we know absolutely nothing about the experience. The news comes via a job posting, as the studio is looking for a creative director for the project, suggesting it\xe2\x80\x99s stil\xe2\x80\xa6 '",2019-07-31T16:07:03Z
"b'Apple\xe2\x80\x99s 2019 MacBook Pro is $100 off for everyone, not just students. You can get the student discount on the latest MacBook Pro without actually being a student, saving you $100 off of the $1,299 price. Also, it\xe2\x80\x99s the final day that Nintendo is letting Switch Online subscribers buy game vouchers. '",2019-07-31T14:42:00Z
"b'A researcher made a Lightning cable that can hack your computer. You probably already know that plugging unknown USB flash drives into your computer is risky. There\xe2\x80\x99s a chance that a malicious program could give a hacker access to your personal data. But now, it\xe2\x80\x99s not just drives to be wary of. A security researcher has sh\xe2\x80\xa6 '",2019-08-15T22:53:45Z
"b'Hulu has renewed The Handmaid\xe2\x80\x99s Tale for a fourth season. Hulu isn\xe2\x80\x99t ready to leave the Republic of\xc2\xa0Gilead just yet. At its Television Critics Association presentation, it announced that it has renewed The Handmaid\xe2\x80\x99s Tale for a fourth season. '",2019-07-26T19:20:59Z
"b'CBS is merging with Viacom. CBS is merging with Viacom after months of negotiations, reuniting the two companies for the first time since they split in 2005. The deal will increase CBS\xe2\x80\x99 content offering to customers \xe2\x80\x94 a growing importance as the streaming wars heat up. '",2019-08-13T18:08:30Z
"b""Trump threatens tariffs against 'foolish' Macron. The US president hints he will retaliate against a French digital tax by imposing duty on French wine. """,2019-07-26T17:31:40Z
b'Microsoft contractors are listening to select Skype calls and Cortana recordings. Microsoft contractors are manually reviewing voice recordings gathered via Skype\xe2\x80\x99s automated translation feature and the Cortana voice assistant. The recordings cover intimate conversations and personal issues. ',2019-08-07T15:14:30Z
"b'Huawei was working on a Google Assistant smart speaker before Trump ban. Huawei was planning to follow other tech giants in releasing a smart speaker, then the US government blew up the company\xe2\x80\x99s software partnership with Google. '",2019-07-29T18:47:36Z
"b'\'I\'m looking forward to ending his career in the desert\' - Ruiz Jr confirms Joshua rematch. Unified world heavyweight champion Andy Ruiz Jr wants to ""end Anthony Joshua\'s career"" after confirming a rematch in Saudi Arabia. '",2019-08-24T09:18:28Z
"b""'Snow White' gravestone on show in German museum. The gravestone honours a lady whose life is believed to have inspired the Snow White fairy tale. """,2019-08-05T14:22:21Z
"b""Trump threat to tax French wine completely moronic, minister says. France's agriculture minister slams the US president's comments last week that US wine was superior. """,2019-07-30T14:28:37Z
b'FAA Bans Recalled Apple Laptops from Flights. Comments ',2019-08-13T23:28:52Z
"b""Amazon Alexa devices made by Chinese teens 'working through night' - reports. Chinese students are being paid low wages and pressured into illegal work hours, activists say. """,2019-08-09T16:38:42Z
"b'Best Buy\xe2\x80\x99s big sale discounts Kindle Oasis, Ring Doorbells, and much more. You can save some money on Amazon Kindle e-readers, Fire TV Stick 4K, and other tech at Best Buy\xe2\x80\x99s big three-day sale. DJI\xe2\x80\x99s Osmo Pocket gimbal is also discounted for readers of The Verge. '",2019-08-02T15:43:39Z
b'Apple Card Guidelines. None ',2019-08-23T01:41:36Z
b'Apple Faces Life After iPhone. None ',2019-07-31T14:43:10Z
b'Goldman Ready For Apple Card. None ',2019-07-26T10:52:49Z
b'Apple Is Targeting Launch of Apple TV+ Video Service by November. None ',2019-08-19T23:07:45Z
b'Apple TV+ Likely To Cost $9.99. None ',2019-08-20T02:29:11Z
"b""Google reveals fistful of flaws in Apple's iMessage app. The security researchers involved say that Apple has yet to fix all of the discovered flaws. """,2019-07-30T12:17:42Z
b'Apple Card can be damaged by wallets and jeans. Apple advises owners of its new credit card to keep it away from leather and denim. ',2019-08-22T11:36:21Z
b'Apple and Google stop workers playing back voice recordings. The tech giants say they will temporarily stop using humans to monitor smart speaker recordings. ',2019-08-02T11:01:02Z
b'Apple vs. Huawei: Who Is Winning the Competition in China?. None ',2019-07-30T01:41:44Z
"b'Baystate Business: Apple, North-South Rail Link (Radio). None '",2019-07-30T22:35:57Z
"b'Bloomberg Best: PIMCO CIO, Apple, Volcker Rule (Audio). None '",2019-08-20T20:17:50Z
b'Federal Reserve Meets; Apple to Post Earnings (Podcast). None ',2019-07-30T16:28:08Z
b'Apple Will Have To Significantly Acquire Content: Ives (Radio). None ',2019-07-29T15:16:04Z
"b""Apple 'in Transition'; Samsung in 'Tough Slog,' Strategist Says. None """,2019-07-31T04:29:25Z
"b""Needham's Martin: Strong Buy On Apple, Services Growing (Radio). None """,2019-07-31T16:12:39Z
b'Apple Seen Forecasting Revenue Decline for iPhone Launch Quarter. None ',2019-07-30T10:00:00Z
b'Brain-computer interfaces are developing faster than the policy debate around them. Facebook is making progress on a brain-computer interface. It\xe2\x80\x99s time to talk about what\xe2\x80\x99s possible \xe2\x80\x94\xc2\xa0and what shouldn\xe2\x80\x99t be ',2019-07-31T10:00:00Z
"b'How TikTok could fail. It\xe2\x80\x99s only a year old, but it already faces significant challenges around the world. Growth, engagement, and regulatory issues are all putting pressure on China\xe2\x80\x99s ByteDance '",2019-08-07T10:00:00Z
