timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-23,209.4300,212.0500,201.8400,202.6400,202.6400,41823761,0.0000,1.0000
2019-08-22,213.1900,214.4400,210.7500,212.4600,212.4600,22253700,0.0000,1.0000
2019-08-21,212.9900,213.6500,211.6000,212.6400,212.6400,21535400,0.0000,1.0000
2019-08-20,210.8800,213.3500,210.3200,210.3600,210.3600,26884300,0.0000,1.0000
2019-08-19,210.6200,212.7300,210.0300,210.3500,210.3500,24413600,0.0000,1.0000
2019-08-16,204.2800,207.1600,203.8400,206.5000,206.5000,27620400,0.0000,1.0000
2019-08-15,203.4600,205.1400,199.6700,201.7400,201.7400,27227400,0.0000,1.0000
2019-08-14,203.1600,206.4400,202.5900,202.7500,202.7500,36547400,0.0000,1.0000
2019-08-13,201.0200,212.1400,200.8300,208.9700,208.9700,47218500,0.0000,1.0000
2019-08-12,199.6200,202.0520,199.1500,200.4800,200.4800,22474900,0.0000,1.0000
2019-08-09,201.3000,202.7600,199.2900,200.9900,200.9900,24619700,0.7700,1.0000
2019-08-08,200.2000,203.5300,199.3900,203.4300,202.6600,27009500,0.0000,1.0000
2019-08-07,195.4100,199.5600,193.8200,199.0400,198.2866,33364400,0.0000,1.0000
2019-08-06,196.3100,198.0700,194.0400,197.0000,196.2543,35824800,0.0000,1.0000
2019-08-05,197.9900,198.6500,192.5800,193.3400,192.6082,52393000,0.0000,1.0000
2019-08-02,205.5300,206.4300,201.6247,204.0200,203.2478,40862100,0.0000,1.0000
2019-08-01,213.9000,218.0300,206.7400,208.4300,207.6411,54017900,0.0000,1.0000
2019-07-31,216.4200,221.3700,211.3000,213.0400,212.2336,69281400,0.0000,1.0000
2019-07-30,208.7600,210.1600,207.3100,208.7800,207.9897,33935700,0.0000,1.0000
2019-07-29,208.4600,210.6400,208.4400,209.6800,208.8863,21673400,0.0000,1.0000
2019-07-26,207.4800,209.7300,207.1400,207.7400,206.9537,17618900,0.0000,1.0000
2019-07-25,208.8900,209.2400,206.7300,207.0200,206.2364,13909600,0.0000,1.0000
2019-07-24,207.6700,209.1500,207.1700,208.6700,207.8802,14991600,0.0000,1.0000
2019-07-23,208.4600,208.9100,207.2900,208.8400,208.0495,18355200,0.0000,1.0000
2019-07-22,203.6500,207.2300,203.6100,207.2200,206.4357,22277900,0.0000,1.0000
2019-07-19,205.7900,206.5000,202.3600,202.5900,201.8232,20929300,0.0000,1.0000
2019-07-18,204.0000,205.8800,203.7000,205.6600,204.8816,18582200,0.0000,1.0000
2019-07-17,204.0500,205.0900,203.2700,203.3500,202.5803,14107500,0.0000,1.0000
2019-07-16,204.5900,206.1100,203.5000,204.5000,203.7260,16866800,0.0000,1.0000
2019-07-15,204.0900,205.8700,204.0000,205.2100,204.4333,16947400,0.0000,1.0000
2019-07-12,202.4500,203.9983,202.2000,203.3000,202.5305,17595200,0.0000,1.0000
2019-07-11,203.3137,204.3900,201.7100,201.7500,200.9864,20191800,0.0000,1.0000
2019-07-10,201.8500,203.7300,201.5679,203.2300,202.4608,17897100,0.0000,1.0000
2019-07-09,199.2000,201.5100,198.8100,201.2400,200.4783,20578000,0.0000,1.0000
2019-07-08,200.8100,201.4000,198.4100,200.0200,199.2629,25338600,0.0000,1.0000
2019-07-05,203.3500,205.0800,202.8856,204.2300,203.4570,17265500,0.0000,1.0000
2019-07-03,203.2800,204.4400,202.6900,204.4100,203.6363,11362000,0.0000,1.0000
2019-07-02,201.4100,203.1320,201.3600,202.7300,201.9626,16935200,0.0000,1.0000
2019-07-01,203.1700,204.4900,200.6500,201.5500,200.7871,27316700,0.0000,1.0000
2019-06-28,198.6800,199.4950,197.0500,197.9200,197.1709,31110600,0.0000,1.0000
2019-06-27,200.2900,201.5700,199.5700,199.7400,198.9840,20899700,0.0000,1.0000
2019-06-26,197.7700,200.9900,197.3494,199.8000,199.0437,26067500,0.0000,1.0000
2019-06-25,198.4300,199.2600,195.2900,195.5700,194.8298,21070300,0.0000,1.0000
2019-06-24,198.5400,200.1600,198.1700,198.5800,197.8284,18220400,0.0000,1.0000
2019-06-21,198.8000,200.8500,198.1500,198.7800,198.0276,47800600,0.0000,1.0000
2019-06-20,200.3543,200.6100,198.0300,199.4600,198.7050,21514000,0.0000,1.0000
2019-06-19,199.6800,199.8800,197.3057,197.8700,197.1210,21124200,0.0000,1.0000
2019-06-18,196.0500,200.2900,195.2100,198.4500,197.6989,26551000,0.0000,1.0000
2019-06-17,192.9000,194.9553,192.1700,193.8900,193.1561,14669100,0.0000,1.0000
2019-06-14,191.5384,193.5860,190.3000,192.7400,192.0105,18761500,0.0000,1.0000
2019-06-13,194.7000,196.7900,193.6000,194.1500,193.4151,21674600,0.0000,1.0000
2019-06-12,193.9491,195.9700,193.3850,194.1900,193.4550,18253200,0.0000,1.0000
2019-06-11,194.8600,196.0000,193.6000,194.8100,194.0726,26932900,0.0000,1.0000
2019-06-10,191.8100,195.3700,191.6200,192.5800,191.8511,26220900,0.0000,1.0000
2019-06-07,186.5100,191.9200,185.7700,190.1500,189.4303,30684400,0.0000,1.0000
2019-06-06,183.0800,185.4700,182.1490,185.2200,184.5189,22526300,0.0000,1.0000
2019-06-05,184.2800,184.9900,181.1400,182.5400,181.8491,29773400,0.0000,1.0000
2019-06-04,175.4400,179.8300,174.5200,179.6400,178.9601,30968000,0.0000,1.0000
2019-06-03,175.6000,177.9200,170.2700,173.3000,172.6440,40396100,0.0000,1.0000
2019-05-31,176.2386,177.9900,174.9900,175.0700,174.4073,27043600,0.0000,1.0000
2019-05-30,177.9500,179.2300,176.6700,178.3000,177.6251,21218400,0.0000,1.0000
2019-05-29,176.4200,179.3500,176.0000,177.3800,176.7086,28481200,0.0000,1.0000
2019-05-28,178.9200,180.5823,177.9100,178.2300,177.5554,27948200,0.0000,1.0000
2019-05-24,180.1912,182.1400,178.6200,178.9700,178.2926,23714700,0.0000,1.0000
2019-05-23,179.8000,180.5400,177.8100,179.6600,178.9800,36529700,0.0000,1.0000
2019-05-22,184.6600,185.7100,182.5500,182.7800,182.0882,29748600,0.0000,1.0000
2019-05-21,185.2200,188.0000,184.7066,186.6000,185.8937,28364800,0.0000,1.0000
2019-05-20,183.5200,184.3490,180.2840,183.0900,182.3970,38612300,0.0000,1.0000
2019-05-17,186.9300,190.9000,186.7600,189.0000,188.2846,32879100,0.0000,1.0000
